ID,KOR,ENG,JPN,TAI,KOR,ENG,JPN,TAI
DESC_1,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_2,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_3,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_4,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_5,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_6,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_7,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_8,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_9,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_10,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_11,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_12,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_13,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_14,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_15,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_16,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_17,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_18,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_19,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_20,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_21,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_22,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_23,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_24,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_25,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_26,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_27,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_28,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_29,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_30,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_31,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_32,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_33,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_34,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_35,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_36,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
DESC_37,Korean,English,Japanese,Tailand,Korean,English,Japanese,Tailand
