ID,Name,IconPath,AttackDamage,AttackSpeed,MaxBullet,ReloadSpeed,DropProbability,RareRank
100000001,MACHINEGUN10001,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000002,MACHINEGUN10002,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000003,MACHINEGUN10003,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000004,MACHINEGUN10004,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000005,MACHINEGUN10005,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000006,MACHINEGUN10006,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000007,MACHINEGUN10007,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000008,MACHINEGUN10008,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000009,MACHINEGUN10009,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000010,MACHINEGUN10010,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000011,MACHINEGUN10011,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000012,MACHINEGUN10012,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000013,MACHINEGUN10013,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000014,MACHINEGUN10014,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000015,MACHINEGUN10015,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000016,MACHINEGUN10016,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000017,MACHINEGUN10017,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000018,MACHINEGUN10018,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000019,MACHINEGUN10019,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000020,MACHINEGUN10020,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000021,MACHINEGUN10021,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000022,MACHINEGUN10022,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000023,MACHINEGUN10023,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000024,MACHINEGUN10024,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000025,MACHINEGUN10025,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000026,MACHINEGUN10026,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000027,MACHINEGUN10027,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000028,MACHINEGUN10028,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000029,MACHINEGUN10029,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000030,MACHINEGUN10030,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
100000031,MACHINEGUN10031,Sprite/Icon/Gun.png,5,3,20,0.3,47,RARE_EPIC
